<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.07	00:00:00	2388.68	2397.63	2379.11	2394.81	60288	0	0
2024.08.07	08:00:00	2394.78	2407.08	2388.10	2399.10	60136	0	2
2024.08.07	16:00:00	2399.10	2401.83	2381.06	2383.78	43086	0	0
2024.08.08	00:00:00	2383.80	2400.79	2382.88	2397.83	60182	0	1
2024.08.08	08:00:00	2397.81	2424.38	2392.93	2413.80	67900	0	0
2024.08.08	16:00:00	2413.78	2427.60	2412.07	2425.88	37715	0	0
2024.08.09	00:00:00	2425.87	2428.95	2416.95	2420.84	45776	0	1
2024.08.09	08:00:00	2420.82	2436.00	2420.41	2428.74	57655	0	0
2024.08.09	16:00:00	2428.74	2437.08	2426.62	2430.87	30113	0	1
2024.08.11	16:00:00	2428.37	2433.53	2427.40	2430.55	2748	0	0
2024.08.12	00:00:00	2430.56	2437.29	2423.92	2436.89	35930	0	0
2024.08.12	08:00:00	2436.89	2457.56	2435.64	2453.41	53324	0	0
2024.08.12	16:00:00	2453.41	2474.09	2453.00	2473.81	35846	0	0
2024.08.13	00:00:00	2473.81	2476.96	2458.52	2463.36	49928	0	1
2024.08.13	08:00:00	2463.31	2475.52	2458.98	2471.42	59552	0	0
2024.08.13	16:00:00	2471.60	2473.07	2462.30	2465.59	28886	0	0
2024.08.14	00:00:00	2465.59	2472.59	2455.37	2467.48	47431	0	0
2024.08.14	08:00:00	2467.48	2479.80	2447.09	2450.28	65707	0	0
2024.08.14	16:00:00	2450.27	2452.24	2438.15	2447.97	35777	0	0
2024.08.15	00:00:00	2447.96	2458.95	2447.28	2456.09	42249	0	0
2024.08.15	08:00:00	2456.03	2470.11	2432.24	2452.30	62407	0	0
2024.08.15	16:00:00	2452.32	2461.64	2450.59	2454.91	33572	0	0
2024.08.16	00:00:00	2454.94	2460.09	2450.83	2455.04	41443	0	0
2024.08.16	08:00:00	2455.05	2500.07	2451.20	2487.23	64153	0	0
2024.08.16	16:00:00	2487.27	2509.75	2485.70	2507.73	36044	0	0
2024.08.18	16:00:00	2505.92	2506.18	2502.21	2504.94	3551	0	4
2024.08.19	00:00:00	2504.96	2506.87	2495.03	2502.19	43019	0	4
